# Every file in the bundled GStreamer runtime, and the upstream project it comes from.
#
# The bundled runtime tree is NOT in this repository (tools/Fetch-GStreamerRuntime.ps1
# unpacks it), so this file is what lets ThirdPartyLicenseTests check that every shipped
# binary is covered by a license text under licenses/third-party/ -- and it is what
# .github/workflows/release.yml compares the real publish directory against -- an exact
# match (missing AND extra), because a count floor cannot catch extra files.
#
# Generated from the runtime tree, not written by hand. Plugin-to-subproject attribution
# comes from `gst-inspect-1.0 <plugin>` (its "Source module" line); library-to-subproject
# attribution comes from where each library is built in the GStreamer 1.28.4 tree.
#
# Columns (tab separated): Path (relative to runtimes/win-x64), Project.
Path	Project
bin/gst-inspect-1.0.exe	gstreamer
bin/gst-launch-1.0.exe	gstreamer
bin/libffi-7.dll	libffi
bin/libgcc_s_seh-1.dll	gcc-runtime
bin/libgio-2.0-0.dll	glib
bin/libglib-2.0-0.dll	glib
bin/libgmodule-2.0-0.dll	glib
bin/libgobject-2.0-0.dll	glib
bin/libgstapp-1.0-0.dll	gst-plugins-base
bin/libgstaudio-1.0-0.dll	gst-plugins-base
bin/libgstbase-1.0-0.dll	gstreamer
bin/libgstcodecparsers-1.0-0.dll	gst-plugins-bad
bin/libgstcodecs-1.0-0.dll	gst-plugins-bad
bin/libgstcuda-1.0-0.dll	gst-plugins-bad
bin/libgstd3d11-1.0-0.dll	gst-plugins-bad
bin/libgstd3d12-1.0-0.dll	gst-plugins-bad
bin/libgstd3dshader-1.0-0.dll	gst-plugins-bad
bin/libgstdxva-1.0-0.dll	gst-plugins-bad
bin/libgstgl-1.0-0.dll	gst-plugins-base
bin/libgstpbutils-1.0-0.dll	gst-plugins-base
bin/libgstreamer-1.0-0.dll	gstreamer
bin/libgstriff-1.0-0.dll	gst-plugins-base
bin/libgstrtp-1.0-0.dll	gst-plugins-base
bin/libgsttag-1.0-0.dll	gst-plugins-base
bin/libgstvideo-1.0-0.dll	gst-plugins-base
bin/libintl-8.dll	proxy-libintl
bin/liborc-0.4-0.dll	orc
bin/libpcre2-8-0.dll	pcre2
bin/libstdc++-6.dll	gcc-runtime
bin/libwinpthread-1.dll	mingw-w64-winpthreads
bin/libz-1.dll	zlib
lib/gstreamer-1.0/libgstamfcodec.dll	gst-plugins-bad
lib/gstreamer-1.0/libgstapp.dll	gst-plugins-base
lib/gstreamer-1.0/libgstcoreelements.dll	gstreamer
lib/gstreamer-1.0/libgstd3d11.dll	gst-plugins-bad
lib/gstreamer-1.0/libgstd3d12.dll	gst-plugins-bad
lib/gstreamer-1.0/libgstdwrite.dll	gst-plugins-bad
lib/gstreamer-1.0/libgstisomp4.dll	gst-plugins-good
lib/gstreamer-1.0/libgstmediafoundation.dll	gst-plugins-bad
lib/gstreamer-1.0/libgstnvcodec.dll	gst-plugins-bad
lib/gstreamer-1.0/libgstqsv.dll	gst-plugins-bad
lib/gstreamer-1.0/libgsttypefindfunctions.dll	gst-plugins-base
lib/gstreamer-1.0/libgstvideoconvertscale.dll	gst-plugins-base
lib/gstreamer-1.0/libgstvideoparsersbad.dll	gst-plugins-bad
lib/gstreamer-1.0/libgstvideotestsrc.dll	gst-plugins-base
